,PLAYER_ID,full_name,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1,1629650,Moses Brown,2020-21,00,1610612760,OKC,21.0,43,32,920.0,146,268,0.545,0,0,0.0,78,126,0.619,154,229,383,10,31,47,43,93,370
2,1629650,Moses Brown,2021-22,00,1610612742,DAL,22.0,26,1,169.0,27,50,0.54,0,0,0.0,27,43,0.628,16,45,61,1,3,9,14,28,81
3,1629650,Moses Brown,2021-22,00,1610612739,CLE,22.0,14,5,176.0,37,58,0.638,0,0,0.0,16,29,0.552,23,51,74,0,4,7,6,25,90
4,1629650,Moses Brown,2021-22,00,0,TOT,22.0,40,6,344.0,64,108,0.593,0,0,0.0,43,72,0.597,39,96,135,1,7,16,20,53,171
5,1629650,Moses Brown,2022-23,00,1610612746,LAC,23.0,24,1,162.0,34,55,0.618,0,0,0.0,22,46,0.478,31,41,72,3,1,10,7,21,90
0,1630535,Greg Brown III,2021-22,00,1610612757,POR,20.0,48,6,640.0,81,190,0.426,19,61,0.311,44,65,0.677,38,97,135,35,26,24,36,90,225
1,1630535,Greg Brown III,2022-23,00,1610612757,POR,21.0,9,0,66.0,8,19,0.421,1,5,0.2,2,8,0.25,2,9,11,0,4,5,5,8,19
0,1629718,Charlie Brown Jr.,2019-20,00,1610612737,ATL,23.0,10,0,40.0,6,19,0.316,3,9,0.333,5,5,1.0,2,2,4,2,2,2,3,3,20
1,1629718,Charlie Brown Jr.,2020-21,00,1610612760,OKC,24.0,9,1,152.0,13,43,0.302,5,21,0.238,9,10,0.9,3,14,17,9,4,2,6,19,40
2,1629718,Charlie Brown Jr.,2021-22,00,1610612742,DAL,25.0,3,0,15.0,1,5,0.2,0,3,0.0,0,0,0.0,0,1,1,1,2,1,0,2,2
3,1629718,Charlie Brown Jr.,2021-22,00,1610612755,PHI,25.0,19,2,162.0,9,34,0.265,1,9,0.111,9,10,0.9,14,17,31,5,8,3,5,16,28
4,1629718,Charlie Brown Jr.,2021-22,00,0,TOT,25.0,22,2,178.0,10,39,0.256,1,12,0.083,9,10,0.9,14,18,32,6,10,4,5,18,30
0,1628972,Troy Brown Jr.,2018-19,00,1610612764,WAS,19.0,52,10,730.0,97,234,0.415,22,69,0.319,32,47,0.681,35,110,145,80,21,5,30,56,248
1,1628972,Troy Brown Jr.,2019-20,00,1610612764,WAS,20.0,69,22,1782.0,273,622,0.439,61,179,0.341,109,139,0.784,76,307,383,178,85,7,79,132,716
2,1628972,Troy Brown Jr.,2020-21,00,1610612764,WAS,21.0,21,0,287.0,33,89,0.371,14,46,0.304,10,15,0.667,11,50,61,19,3,4,16,29,90
3,1628972,Troy Brown Jr.,2020-21,00,1610612741,CHI,21.0,13,0,237.0,29,55,0.527,8,24,0.333,5,6,0.833,9,35,44,10,7,2,5,20,71
4,1628972,Troy Brown Jr.,2020-21,00,0,TOT,21.0,34,0,523.0,62,144,0.431,22,70,0.314,15,21,0.714,20,85,105,29,10,6,21,49,161
5,1628972,Troy Brown Jr.,2021-22,00,1610612741,CHI,22.0,66,7,1055.0,108,258,0.419,47,133,0.353,20,26,0.769,39,164,203,66,36,5,26,62,283
6,1628972,Troy Brown Jr.,2022-23,00,1610612747,LAL,23.0,26,16,609.0,63,149,0.423,22,72,0.306,17,17,1.0,22,86,108,21,19,3,23,37,165
0,1628973,Jalen Brunson,2018-19,00,1610612742,DAL,22.0,73,38,1591.0,264,565,0.467,63,181,0.348,87,120,0.725,25,144,169,230,37,4,88,127,678
1,1628973,Jalen Brunson,2019-20,00,1610612742,DAL,23.0,57,16,1022.0,181,388,0.466,43,120,0.358,61,75,0.813,22,112,134,188,22,4,66,74,466
2,1628973,Jalen Brunson,2020-21,00,1610612742,DAL,24.0,68,12,1697.0,328,627,0.523,81,200,0.405,120,151,0.795,27,204,231,239,35,1,80,109,857
3,1628973,Jalen Brunson,2021-22,00,1610612742,DAL,25.0,79,61,2524.0,506,1008,0.502,94,252,0.373,179,213,0.84,43,266,309,377,66,3,124,151,1285
4,1628973,Jalen Brunson,2022-23,00,1610612752,NYK,26.0,30,30,962.0,222,473,0.469,47,126,0.373,133,149,0.893,13,83,96,186,35,5,62,74,624
