,PLAYER_ID,full_name,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
4,2749,Jameer Nelson,2008-09,00,1610612753,ORL,27.0,42,42,1309.0,267,531,0.503,82,181,0.453,86,97,0.887,20,125,145,226,51,3,83,123,702
5,2749,Jameer Nelson,2009-10,00,1610612753,ORL,28.0,65,64,1860.0,317,706,0.449,86,226,0.381,98,116,0.845,26,168,194,353,48,2,139,147,818
6,2749,Jameer Nelson,2010-11,00,1610612753,ORL,29.0,76,76,2319.0,374,838,0.446,119,297,0.401,130,162,0.802,37,189,226,456,75,3,194,209,997
7,2749,Jameer Nelson,2011-12,00,1610612753,ORL,30.0,57,57,1706.0,259,606,0.427,87,231,0.377,71,88,0.807,29,152,181,325,38,5,135,130,676
8,2749,Jameer Nelson,2012-13,00,1610612753,ORL,31.0,56,56,1977.0,306,780,0.392,121,355,0.341,89,102,0.873,23,186,209,413,71,6,154,161,822
9,2749,Jameer Nelson,2013-14,00,1610612753,ORL,32.0,68,68,2179.0,294,747,0.394,136,391,0.348,96,112,0.857,29,202,231,476,52,5,166,146,820
10,2749,Jameer Nelson,2014-15,00,1610612742,DAL,33.0,23,23,584.0,61,163,0.374,38,103,0.369,7,8,0.875,14,49,63,95,15,2,39,53,167
11,2749,Jameer Nelson,2014-15,00,1610612738,BOS,33.0,6,1,121.0,9,41,0.22,5,25,0.2,6,9,0.667,3,14,17,33,7,0,9,13,29
12,2749,Jameer Nelson,2014-15,00,1610612743,DEN,33.0,34,5,702.0,135,300,0.45,46,130,0.354,11,19,0.579,16,50,66,125,25,4,61,70,327
13,2749,Jameer Nelson,2014-15,00,0,TOT,33.0,63,29,1406.0,205,504,0.407,89,258,0.345,24,36,0.667,33,113,146,253,47,6,109,136,523
14,2749,Jameer Nelson,2015-16,00,1610612743,DEN,34.0,39,15,1036.0,113,307,0.368,43,144,0.299,30,35,0.857,19,96,115,190,25,5,66,100,299
15,2749,Jameer Nelson,2016-17,00,1610612743,DEN,35.0,75,40,2045.0,268,604,0.444,106,273,0.388,45,63,0.714,28,164,192,385,54,8,128,197,687
16,2749,Jameer Nelson,2017-18,00,1610612740,NOP,36.0,43,0,898.0,84,205,0.41,40,110,0.364,13,17,0.765,11,85,96,156,23,3,56,67,221
17,2749,Jameer Nelson,2017-18,00,1610612765,DET,36.0,7,0,116.0,11,39,0.282,1,14,0.071,3,3,1.0,2,6,8,23,4,1,11,14,26
18,2749,Jameer Nelson,2017-18,00,0,TOT,36.0,50,0,1013.0,95,244,0.389,41,124,0.331,16,20,0.8,13,91,104,179,27,4,67,81,247
0,77701,Louie Nelson,1973-74,00,1610612764,CAP,23.0,49,,556.0,93,215,0.433,,,,53,73,0.726,26,44,70,52,31,2,,62,239
1,77701,Louie Nelson,1974-75,00,1610612762,NOJ,24.0,72,,1898.0,307,679,0.452,,,,192,250,0.768,75,121,196,178,65,6,,186,806
2,77701,Louie Nelson,1975-76,00,1610612762,NOJ,25.0,66,,2030.0,327,755,0.433,,,,169,230,0.735,81,121,202,169,82,6,,147,823
3,77701,Louie Nelson,1976-77,00,1610612759,SAN,26.0,4,,57.0,7,14,0.5,,,,4,7,0.571,2,5,7,3,2,0,,9,18
4,77701,Louie Nelson,1977-78,00,1610612758,KCK,27.0,8,,53.0,3,14,0.214,,,,9,11,0.818,1,2,3,5,2,1,8.0,5,15
